"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","ENTREZID","GO","PATH","UNIPROT","ENZYME"
"ENSG00000211893.3",16826.3156835025,4.97852549606142,0.760227520811119,1.85395763952557e-11,6.28154556591982e-09,NA,NA,NA,NA,NA,NA
"ENSG00000105369.5",2236.12784873815,4.97272076613982,0.786009905046755,7.98502988886196e-11,2.40486516329604e-08,"CD79A","973","GO:0002250","04662","P11912",NA
"ENSG00000253448.1",5.06794083185953,4.9701738574785,1.13546850564149,1.19041667619679e-06,0.000177467318087418,NA,NA,NA,NA,NA,NA
"ENSG00000226777.3",439.445439474379,4.96514374146653,0.695985932613843,3.17222550424174e-13,1.7515384376754e-10,"FAM30A","9834",NA,NA,NA,NA
"ENSG00000270864.1",6.19640371124705,4.93290186125577,1.17496383204964,1.87243709509322e-06,0.000264590447522746,NA,NA,NA,NA,NA,NA
"ENSG00000223931.1",5.74041573490131,4.93165518742785,1.06865548337264,6.01615210053961e-07,9.54136122498346e-05,NA,NA,NA,NA,NA,NA
"ENSG00000211933.2",187.787025651366,4.90677393290363,0.788302976080065,1.58073039428572e-10,4.4047717229928e-08,NA,NA,NA,NA,NA,NA
"ENSG00000231331.1",6.03987566503617,4.89059375218543,1.42376145973746,7.73347064836303e-06,0.000948893666055934,NA,NA,NA,NA,NA,NA
"ENSG00000254176.1",5.49735547622437,4.88535605866249,1.20452998988864,2.59285740638417e-06,0.000354736494769037,NA,NA,NA,NA,NA,NA
"ENSG00000211943.2",674.813307720346,4.86947328343166,0.840661825232195,2.25930476078714e-09,5.38907445981034e-07,NA,NA,NA,NA,NA,NA
"ENSG00000211938.2",712.731843119858,4.84630000382375,0.829839800948618,1.72309495850372e-09,4.21113108874975e-07,NA,NA,NA,NA,NA,NA
"ENSG00000197794.2",14.0438470898704,4.8451620750564,1.0211986744588,3.98612284831698e-07,6.53023290359446e-05,NA,NA,NA,NA,NA,NA
"ENSG00000230709.1",10.389433477824,4.79210988258685,0.991928719509236,2.94629395867381e-07,4.93520790291114e-05,"LOC284191","284191",NA,NA,NA,NA
"ENSG00000211966.2",1510.70248862991,4.78071279189899,0.936144705812401,9.17837727992177e-08,1.71039060611342e-05,NA,NA,NA,NA,NA,NA
