"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","ENTREZID","GO","PATH","UNIPROT","ENZYME"
"ENSG00000117724.8",141.2967170726,1.89941403430391,0.393839525087887,2.13329610889832e-07,1.802293138299e-05,"CENPF","1063","GO:0000278",NA,"P49454",NA
"ENSG00000089820.11",4355.90131177191,1.89543082400381,0.337835555622075,4.22196952259444e-09,8.10226707455243e-07,"ARHGAP4","393","GO:0005070",NA,"P98171",NA
"ENSG00000185668.5",22.2547195905978,1.89470086673391,0.473282911843895,4.4184651815576e-06,0.00020819233175801,"POU3F1","5453","GO:0000981",NA,"Q03052",NA
"ENSG00000249806.1",3.4119303368141,1.89287482856043,0.91654908992322,0.000253025682432179,0.0047488200942485,NA,NA,NA,NA,NA,NA
"ENSG00000125910.4",382.921135851123,1.89212238752869,0.319206696204678,6.86762054574836e-10,1.83661938523115e-07,"S1PR4","8698","GO:0003376","04080","O95977",NA
"ENSG00000066294.10",1034.10984888673,1.89143632668487,0.486878096876975,6.29290451922789e-06,0.000277558275735443,"CD84","8832","GO:0002250",NA,"Q9UIB8",NA
"ENSG00000137101.8",683.709163962703,1.89125972001201,0.367218939743234,4.70874639139145e-08,5.39328272449571e-06,"CD72","971","GO:0004888","04662","P21854",NA
"ENSG00000254774.1",12.3387067176748,1.88989582423581,0.682714489442606,8.32690869923115e-05,0.00203798277268852,NA,NA,NA,NA,NA,NA
"ENSG00000256609.1",3.73107296669287,1.88884522732495,1.10065209755925,0.00034289950757136,0.00594646435092931,NA,NA,NA,NA,NA,NA
"ENSG00000260396.1",28.994930716827,1.8877328392165,0.486135029979339,6.33833749429411e-06,0.000278713723686881,NA,NA,NA,NA,NA,NA
"ENSG00000218052.4",30.5823424267375,1.88761621163959,0.458107739266481,3.07516449650206e-06,0.000154604030662782,NA,NA,NA,NA,NA,NA
"ENSG00000152213.3",91.2032217384618,1.8870444233451,0.373864271250169,7.75912933304911e-08,8.00156760900702e-06,"ARL11","115761","GO:0002244",NA,"Q969Q4",NA
"ENSG00000117560.6",62.2885312425298,1.88646026003503,0.494744245000902,7.74159055433019e-06,0.00032606949285375,"FASLG","356","GO:0000122","04010","P48023",NA
"ENSG00000263391.1",4.87117240229125,1.88590415626056,0.587372156578936,3.42244701837938e-05,0.00104947798622855,NA,NA,NA,NA,NA,NA
"ENSG00000156127.6",165.70323597324,1.88588598657531,0.405422491161416,4.45082923590352e-07,3.32492418542269e-05,"BATF","10538","GO:0000981",NA,"Q16520",NA
"ENSG00000241490.1",21.7087709248723,1.88387599015481,0.642482020996334,6.11663447354517e-05,0.0016201812959268,"LOC107986115","107986115",NA,NA,NA,NA
"ENSG00000134516.11",1642.39711773975,1.88293927540256,0.423998534893627,1.01534604878259e-06,6.36854930771037e-05,"DOCK2","1794","GO:0001766","04062","Q5XG91",NA
"ENSG00000213443.2",360.459175108519,1.88240846392907,0.331473578077113,2.92990120020142e-09,5.89601923468311e-07,NA,NA,NA,NA,NA,NA
"ENSG00000211747.3",41.7058162617326,1.88145429338223,0.636713608168154,5.85982412226704e-05,0.00157519465134559,NA,NA,NA,NA,NA,NA
"ENSG00000165304.3",45.1961976203079,1.87642467424187,0.462623611809669,3.79772594717039e-06,0.000181601489269148,"MELK","9833","GO:0000086",NA,"Q14680",NA
"ENSG00000007968.6",133.747143462914,1.87558059621908,0.496595775536881,8.61464988181283e-06,0.000352094956664559,"E2F2","1870","GO:0000977","04110","Q14209",NA
"ENSG00000024526.12",28.7277089425081,1.87526056756196,0.552880638538346,2.29033460034626e-05,0.000767275330044323,"DEPDC1","55635","GO:0005096",NA,"Q5TB30",NA
"ENSG00000093009.5",44.5932844889694,1.8745248995829,0.443006180159167,2.14969120092579e-06,0.000115787642417151,"CDC45","8318","GO:0000076","04110","O75419",NA
"ENSG00000165480.11",20.1548809879935,1.87450839374408,0.712138135222373,0.000108552349221875,0.0024965317267869,"SKA3","221150","GO:0000278",NA,"Q8IX90",NA
"ENSG00000204791.4",15.0496672396671,1.87280744891154,0.539004528895745,1.88339891012971e-05,0.000658349018308067,NA,NA,NA,NA,NA,NA
"ENSG00000227777.1",4.31241385639312,1.86891373473629,1.10864437372514,0.000365431909302053,0.00624012131276068,NA,NA,NA,NA,NA,NA
